,Title,Distributor,Gross,Max Th,Opening,% of Total,Open Th,Open,Close,Estimated,Rated,Genre,Language,Awards,DVD,BoxOffice,Director,Writer,Actors,Runtime,Plot,IMDB_ID,IMDB_Rating,IMDB_Votes,IMDB_Metascore
44,xXx: Return of Xander Cage,Paramount Pictures,"$44,898,413",3651,"$20,130,142",44.8%,3651,Jan 20,Mar 16,False,PG-13,"Action, Adventure, Thriller","English, Spanish, Portuguese, Mandarin, Tagalog, Russian",1 win & 6 nominations.,16 May 2017,"$44,850,317",D.J. Caruso,"Rich Wilkes (based on characters created by), F. Scott Frazier","Vin Diesel, Donnie Yen, Deepika Padukone, Kris Wu",107 min,"Xander Cage is left for dead after an incident, though he secretly returns to action for a new, tough assignment with his handler Augustus Gibbons.",tt1293847,5.2,"79,767",42
45,Pitch Perfect 3,Universal Pictures,"$104,897,530",3468,"$19,928,525",19%,3447,Dec 22,Mar 8,False,PG-13,"Comedy, Music","English, Papiamento",2 wins & 3 nominations.,20 Mar 2018,"$104,880,310",Trish Sie,"Kay Cannon (screenplay by), Mike White (screenplay by), Kay Cannon (story by), Mickey Rapkin (based on the book by)","Anna Kendrick, Rebel Wilson, Brittany Snow, Anna Camp",93 min,"Following their win at the world championship, the now separated Bellas reunite for one last singing competition at an overseas USO tour, but face a group who uses both instruments and voices.",tt4765284,5.8,"47,519",40
46,Snatched,Twentieth Century Fox,"$45,847,354",3511,"$19,542,248",42.6%,3501,May 12,Aug 3,False,R,"Action, Adventure, Comedy","English, Spanish",1 win & 2 nominations.,08 Aug 2017,"$45,850,343",Jonathan Levine,Katie Dippold,"Amy Schumer, Kim Caramele, Raven Goodwin, Katie Dippold",90 min,"When her boyfriend dumps her before their exotic vacation, a young woman persuades her ultra-cautious mother to travel with her to paradise, with unexpected results.",tt2334871,4.5,"30,844",45
47,The Dark Tower,Sony Pictures Releasing,"$50,701,325",3451,"$19,153,698",37.8%,3451,Aug 4,Oct 19,False,PG-13,"Action, Adventure, Fantasy, Horror, Sci-Fi, Western",English,3 nominations.,31 Oct 2017,"$50,644,837",Nikolaj Arcel,"Akiva Goldsman (screenplay by), Jeff Pinkner (screenplay by), Anders Thomas Jensen (screenplay by), Nikolaj Arcel (screenplay by), Stephen King (based on ""The Dark Tower"" novels by)","Matthew McConaughey, Idris Elba, Tom Taylor, Dennis Haysbert",95 min,A boy haunted by visions of a dark tower from a parallel reality teams up with the tower's disillusioned guardian to stop an evil warlock known as the Man in Black who plans to use the boy to destroy the tower and open the gates of Hell.,tt1648190,5.6,"115,141",34
48,Ghost in the Shell,Paramount Pictures,"$40,563,557",3440,"$18,676,033",46%,3440,Mar 31,May 25,False,PG-13,"Action, Drama, Sci-Fi, Thriller","English, Japanese",2 wins & 6 nominations.,25 Jul 2017,"$40,533,014",Rupert Sanders,"Shirow Masamune (based on the comic ""The Ghost in the Shell"" by), Jamie Moss (screenplay by), William Wheeler (screenplay by), Ehren Kruger (screenplay by)","Scarlett Johansson, Pilou Asbæk, Takeshi Kitano, Juliette Binoche",107 min,"In the near future, Major Mira Killian is the first of her kind: A human saved from a terrible crash, who is cyber-enhanced to be a perfect soldier devoted to stopping the world's most dangerous criminals.",tt1219827,6.3,"181,970",52
49,Baywatch,Paramount Pictures,"$58,060,186",3647,"$18,503,871",31.9%,3647,May 25,Jul 27,False,R,"Action, Comedy, Crime","English, Spanish",3 wins & 10 nominations.,29 Aug 2017,"$58,009,442",Seth Gordon,"Michael Berk (based on the series ""Baywatch"" created by), Douglas Schwartz (based on the series ""Baywatch"" created by), Gregory J. Bonann (based on the series ""Baywatch"" created by), Jay Scherick (story by), David Ronn (story by), Thomas Lennon (story by), Robert Ben Garant (story by), Damian Shannon (screenplay by), Mark Swift (screenplay by)","Dwayne Johnson, Zac Efron, Priyanka Chopra, Alexandra Daddario",116 min,"Devoted lifeguard Mitch Buchannon butts heads with a brash new recruit, as they uncover a criminal plot that threatens the future of the bay.",tt1469304,5.5,"145,026",37
50,The Great Wall,Universal Pictures,"$45,157,105",3328,"$18,469,620",40.9%,3326,Feb 17,Jun 1,False,PG-13,"Action, Adventure, Fantasy, Thriller","English, Mandarin, Spanish",1 win & 1 nomination.,23 May 2017,"$45,125,480",Yimou Zhang,"Carlo Bernard (screenplay), Doug Miro (screenplay), Tony Gilroy (screenplay), Max Brooks (story), Edward Zwick (story), Marshall Herskovitz (story)","Matt Damon, Tian Jing, Willem Dafoe, Andy Lau",103 min,"In ancient China, a group of European mercenaries encounters a secret army that maintains and defends the Great Wall of China against a horde of monstrous creatures.",tt2034800,5.9,"115,326",42
51,A Dog's Purpose,Universal Pictures,"$64,321,890",3178,"$18,222,810",28.3%,3059,Jan 27,May 18,False,PG,"Adventure, Comedy, Drama, Family, Fantasy",English,3 nominations.,02 May 2017,"$64,304,940",Lasse Hallström,"W. Bruce Cameron (screenplay by), Cathryn Michon (screenplay by), Audrey Wells (screenplay by), Maya Forbes (screenplay by), Wallace Wolodarsky (screenplay), W. Bruce Cameron (based on the novel by)","Josh Gad, Dennis Quaid, Peggy Lipton, Bryce Gheisar",100 min,A dog looks to discover his purpose in life over the course of several lifetimes and owners.,tt1753383,7.1,"58,179",43
52,Valerian and the City of a Thousand Planets,STX Entertainment,"$41,189,488",3553,"$17,007,624",41.3%,3553,Jul 21,Sep 21,False,PG-13,"Action, Adventure, Fantasy, Sci-Fi","English, French",8 nominations.,21 Nov 2017,"$40,442,321",Luc Besson,"Pierre Christin (based on the comic book series ""Valerian and Laureline"" by), Jean-Claude Mézières (based on the comic book series ""Valerian and Laureline"" by), Luc Besson (screenplay by)","Dane DeHaan, Cara Delevingne, Clive Owen, Rihanna",137 min,"A dark force threatens Alpha, a vast metropolis and home to species from a thousand planets. Special operatives Valerian and Laureline must race to identify the marauding menace and safeguard not just Alpha, but the future of the universe.",tt2239822,6.5,"146,570",51
53,American Made,Universal Pictures,"$51,342,000",3098,"$16,776,390",32.7%,3024,Sep 29,Dec 14,False,R,"Action, Biography, Comedy, Crime","English, Spanish",3 nominations.,02 Jan 2018,"$51,071,805",Doug Liman,Gary Spinelli,"Tom Cruise, Domhnall Gleeson, Sarah Wright, Jesse Plemons",115 min,"The story of Barry Seal, an American pilot who became a drug-runner for the CIA in the 1980s in a clandestine operation that would be exposed as the Iran-Contra Affair.",tt3532216,7.1,"139,739",65
54,A Bad Moms Christmas,STX Entertainment,"$72,110,659",3615,"$16,759,161",23.2%,3615,Nov 1,Jan 11,False,R,Comedy,"English, Japanese",1 win & 1 nomination.,06 Feb 2018,"$72,080,547","Jon Lucas, Scott Moore","Jon Lucas, Scott Moore","Mila Kunis, Kristen Bell, Kathryn Hahn, Christine Baranski",104 min,"As their own mothers drop in unexpectedly, our three under-appreciated and over-burdened moms rebel against the challenges and expectations of the Super Bowl for mothers: Christmas.",tt6359956,5.5,"34,718",42
55,Jigsaw,Lionsgate,"$38,052,832",2941,"$16,640,452",43.7%,2941,Oct 27,Dec 21,False,R,"Horror, Mystery, Thriller",English,N/A,23 Jan 2018,"$36,462,005","Michael Spierig, Peter Spierig","Josh Stolberg, Pete Goldfinger","Matt Passmore, Tobin Bell, Callum Keith Rennie, Hannah Emily Anderson",92 min,"Bodies are turning up around the city, each having met a uniquely gruesome demise. As the investigation proceeds, evidence points to one suspect: John Kramer, the man known as Jigsaw, who has been dead for over 10 years.",tt3348730,5.8,"60,078",39
56,The Shack,Lionsgate,"$57,386,418",2888,"$16,172,119",28.2%,2888,Mar 3,May 18,False,PG-13,"Drama, Fantasy",English,1 nomination.,30 May 2017,"$57,330,873",Stuart Hazeldine,"John Fusco (screenplay by), Andrew Lanham (screenplay by), Destin Daniel Cretton (screenplay by), William P. Young (based on the book by), Wayne Jacobsen (in collaboration with), Brad Cummings (in collaboration with)","Sam Worthington, Octavia Spencer, Tim McGraw, Radha Mitchell",132 min,"A grieving man receives a mysterious, personal invitation to meet with God at a place called ""The Shack.""",tt2872518,6.3,"27,027",32
57,King Arthur: Legend of the Sword,Warner Bros.,"$39,175,066",3702,"$15,371,270",39.2%,3702,May 12,Jul 20,False,PG-13,"Action, Adventure, Drama, Fantasy",English,8 nominations.,08 Aug 2017,"$39,037,047",Guy Ritchie,"Joby Harold (screenplay by), Guy Ritchie (screenplay by), Lionel Wigram (screenplay by), David Dobkin (story by), Joby Harold (story by)","Charlie Hunnam, Astrid Bergès-Frisbey, Jude Law, Djimon Hounsou",126 min,"Robbed of his birthright, Arthur comes up the hard way in the back alleys of the city. But once he pulls the sword from the stone, he is forced to acknowledge his true legacy - whether he likes it or not.",tt1972591,6.7,"174,572",41
58,American Assassin,Lionsgate,"$36,249,674",3154,"$14,846,778",41%,3154,Sep 15,Nov 9,False,R,"Action, Thriller","English, Spanish, Arabic, Polish, Turkish, Russian, Italian, Persian",1 nomination.,05 Dec 2017,"$34,449,582",Michael Cuesta,"Stephen Schiff (screenplay by), Michael Finch (screenplay by), Edward Zwick (screenplay by), Marshall Herskovitz (screenplay by), Vince Flynn (based on the novel by)","Dylan O'Brien, Charlotte Vega, Christopher Bomford, Chris Webster",112 min,"After the death of his girlfriend at the hands of terrorists, Mitch Rapp is drawn into the world of counterterrorism, mentored by tough-as-nails former U.S. Navy S.E.A.L. Stan Hurley.",tt1961175,6.2,"60,802",45
59,Geostorm,Warner Bros.,"$33,700,160",3246,"$13,707,376",40.7%,3246,Oct 20,Jan 11,False,PG-13,"Action, Sci-Fi, Thriller","English, Cantonese, Russian, Hindi, Spanish",N/A,23 Jan 2018,"$33,681,965",Dean Devlin,"Dean Devlin, Paul Guyot","Gerard Butler, Jim Sturgess, Abbie Cornish, Alexandra Maria Lara",109 min,"When the network of satellites designed to control the global climate starts to attack Earth, it's a race against the clock for its creator to uncover the real threat before a worldwide Geostorm wipes out everything and everyone.",tt1981128,5.3,"83,314",21
60,Underworld: Blood Wars,Screen Gems,"$30,353,973",3070,"$13,688,751",45.1%,3070,Jan 6,Mar 9,False,R,"Action, Adventure, Fantasy, Horror, Sci-Fi, War","English, Saami",N/A,25 Apr 2017,"$30,348,260",Anna Foerster,"Cory Goodman (screenplay by), Kyle Ward (story by), Cory Goodman (story by), Kevin Grevioux (based on characters created by), Len Wiseman (based on characters created by), Danny McBride (based on characters created by)","Kate Beckinsale, Theo James, Tobias Menzies, Lara Pulver",91 min,"Vampire death dealer, Selene (Kate Beckinsale) fights to end the eternal war between the Lycan clan and the Vampire faction that betrayed her.",tt3717252,5.8,"64,278",23
61,Resident Evil: The Final Chapter,Screen Gems,"$26,830,068",3104,"$13,601,682",50.7%,3104,Jan 27,Mar 30,False,R,"Action, Horror, Sci-Fi, Thriller",English,1 win & 3 nominations.,16 May 2017,"$26,844,692",Paul W.S. Anderson,Paul W.S. Anderson,"Milla Jovovich, Iain Glen, Ali Larter, Shawn Roberts",107 min,"Alice returns to where the nightmare began: The Hive in Raccoon City, where the Umbrella Corporation is gathering its forces for a final strike against the only remaining survivors of the apocalypse.",tt2592614,5.5,"77,161",49
62,The Bye Bye Man,STX Entertainment,"$22,395,806",2220,"$13,501,349",60.3%,2220,Jan 13,Feb 16,False,PG-13,"Drama, Fantasy, Horror, Mystery, Thriller",English,N/A,25 Apr 2017,"$22,377,458",Stacy Title,"Jonathan Penner (screenplay by), Robert Damon Schneck (based on ""The Bridge to Body Island"" by)","Douglas Smith, Lucien Laviscount, Cressida Bonas, Doug Jones",96 min,Three friends stumble upon the horrific origins of a mysterious figure they discover is the root cause of the evil behind unspeakable acts.,tt4030600,4.3,"18,667",37
63,Ferdinand,Twentieth Century Fox,"$84,405,944",3630,"$13,401,586",15.9%,3621,Dec 15,May 31,False,PG,"Animation, Adventure, Comedy, Family, Fantasy","English, Spanish, German",Nominated for 1 Oscar. Another 2 wins & 15 nominations.,13 Mar 2018,"$70,466,891",Carlos Saldanha,"Robert L. Baird (screenplay by), Tim Federle (screenplay by), Brad Copeland (screenplay by), Ron Burch (screen story by), David Kidd (screen story by), Don Rhymer (screen story by), Munro Leaf (based upon the book ""The Story of Ferdinand"" by), Robert Lawson (based upon the book ""The Story of Ferdinand"" by: illustrations)","Jack Gore, Jet Jurgensmeyer, Nile Diaz, Colin H. Murphy",108 min,"After Ferdinand, a bull with a big heart, is mistaken for a dangerous beast, he is captured and torn from his home. Determined to return to his family, he rallies a misfit team on the ultimate adventure.",tt3411444,6.7,"42,314",58
64,Smurfs: The Lost Village,Sony Pictures Releasing,"$45,020,282",3610,"$13,210,449",29.3%,3610,Apr 7,Aug 3,False,PG,"Animation, Adventure, Comedy, Family, Fantasy",English,2 nominations.,11 Jul 2017,"$45,011,202",Kelly Asbury,"Stacey Harman, Pamela Ribon, Peyo (based on the characters and works of)","Demi Lovato, Rainn Wilson, Joe Manganiello, Jack McBrayer",90 min,"In this fully animated, all-new take on the Smurfs, a mysterious map sets Smurfette and her friends Brainy, Clumsy, and Hefty on an exciting race through the Forbidden Forest, leading to the discovery of the biggest secret in Smurf history.",tt2398241,6.0,"16,129",40
65,The Foreigner,STX Entertainment,"$34,393,507",2515,"$13,113,024",38.1%,2515,Oct 13,Dec 21,False,R,"Action, Thriller","English, Mandarin",N/A,09 Jan 2018,"$33,964,179",Martin Campbell,"David Marconi (screenplay by), Stephen Leather (based on the novel ""The Chinaman"" by)","Katie Leung, Jackie Chan, Rufus Jones, Mark Tandy",113 min,"A humble businessman with a buried past seeks justice when his daughter is killed in an act of terrorism. A cat-and-mouse conflict ensues with a government official, whose past may hold clues to the killers' identities.",tt1615160,7.0,"85,766",55
66,Rings,Paramount Pictures,"$27,793,018",2931,"$13,002,632",46.8%,2931,Feb 3,Mar 23,False,PG-13,"Drama, Horror, Mystery, Romance, Thriller",English,2 wins.,02 May 2017,"$27,766,716",F. Javier Gutiérrez,"David Loucka (screenplay by), Jacob Estes (screenplay by), Akiva Goldsman (screenplay by), David Loucka (story by), Jacob Estes (story by), Kôji Suzuki (based on the novel ""The Ring"" by)","Matilda Anna Ingrid Lutz, Alex Roe, Johnny Galecki, Vincent D'Onofrio",102 min,A young woman finds herself on the receiving end of a terrifying curse that threatens to take her life in 7 days.,tt0498381,4.5,"34,970",25
67,Life,Sony Pictures Releasing,"$30,234,022",3146,"$12,501,936",41.4%,3146,Mar 24,Jun 1,False,R,"Horror, Sci-Fi, Thriller","English, Japanese, Vietnamese",5 nominations.,20 Jun 2017,"$30,180,466",Daniel Espinosa,"Rhett Reese, Paul Wernick","Hiroyuki Sanada, Ryan Reynolds, Rebecca Ferguson, Jake Gyllenhaal",104 min,A team of scientists aboard the International Space Station discover a rapidly evolving life form that caused extinction on Mars and now threatens all life on Earth.,tt5442430,6.6,"188,506",54
68,How to Be a Latin Lover,-,"$32,149,404",1203,"$12,252,439",38.1%,1118,Apr 28,Jun 22,False,PG-13,"Comedy, Drama","English, Spanish",2 wins & 2 nominations.,15 Aug 2017,"$32,088,029",Ken Marino,"Jon Zack, Chris Spain","Eugenio Derbez, Salma Hayek, Raphael Alejandro, Rob Lowe",115 min,"Finding himself dumped after 25 years of marriage, a man who made a career of seducing rich older women must move in with his estranged sister, where he begins to learn the value of family.",tt4795124,5.9,"12,061",54
69,Fist Fight,Warner Bros.,"$32,187,017",3185,"$12,201,873",37.9%,3185,Feb 17,Apr 13,False,R,Comedy,English,1 win.,30 May 2017,"$32,153,522",Richie Keen,"Van Robichaux (screenplay by), Evan Susser (screenplay by), Van Robichaux (story by), Evan Susser (story by), Max Greenfield (story by)","Charlie Day, Ice Cube, Tracy Morgan, Jillian Bell",91 min,"When one school teacher unwittingly causes another teacher's dismissal, he is challenged to an after-school fight.",tt3401882,5.6,"36,342",37
70,Going in Style,Warner Bros.,"$45,018,541",3076,"$11,932,330",26.5%,3061,Apr 7,Jul 13,False,PG-13,"Comedy, Crime",English,N/A,30 Mar 2004,N/A,Zach Braff,"Theodore Melfi (screenplay by), Edward Cannon (based on the story by)","Michael Caine, Alan Arkin, Ann-Margret, Matt Dillon",96 min,"Desperate to pay the bills and come through for their loved ones, three lifelong pals risk it all by embarking on a daring bid to knock off the very bank that absconded with their money.",tt2568862,6.6,"68,819",50
71,"Everything, Everything",Warner Bros.,"$34,121,140",2801,"$11,727,390",34.4%,2801,May 19,Jul 27,False,PG-13,"Drama, Romance","English, Spanish",1 win & 5 nominations.,15 Aug 2017,"$34,091,886",Stella Meghie,"J. Mills Goodloe (screenplay by), Nicola Yoon (based on the book by)","Amandla Stenberg, Nick Robinson, Anika Noni Rose, Ana de la Reguera",96 min,A teenager who's spent her whole life confined to her home falls for the boy next door.,tt5001718,6.4,"28,428",52
